countrycode,country,scenar,shareag,sharemanu,shareemp,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,issp5,voice,ccint,future_gdp,model_gdp,relative_gdp_diff
AFG,Afghanistan,1,0.507737676,0.107243376,0.590612486,0.013774915,0.011969327,-0.019986393,4.69974399,4.326562284,2.193371621,0.161002212,0.126149273,FALSE,0.508758312,0,8526931472,6990137873,18.02%
AGO,Angola,1,0.372427585,0.166296882,0.785997489,0.003701818,-0.034850931,-0.035596087,3.327087913,4.274271087,1.063973302,0.129251779,0.048564271,FALSE,0.952021897,1,2141408481,2143297473,0.09%
ALB,Albania,1,0.272721165,0.20954446,0.559976957,-0.032828317,-0.018145276,0.022579684,2.25230354,1.832321537,1.861575073,0.083439925,0.089005949,FALSE,0.990394255,0,2771812409,2760110233,0.42%
ARG,Argentina,1,0.098431461,0.256056487,0.579485535,0.010036121,0.03740247,0.005623375,3.785607982,2.554633524,2.726269795,0.094874244,0.101944913,FALSE,0.765058518,1,55394322203,55425467248,0.06%
AZE,Azerbaijan,1,0.153750842,0.158826532,0.379273348,0.038101576,0.031185192,0.027235175,1.099071236,3.638182448,1.414018282,0.020903767,0.189233817,FALSE,0.294031996,1,3312708362,3310976819,0.05%
BDI,Burundi,1,0.573344316,0.102413689,0.722333476,0.026708944,-0.009440735,0.003939484,2.846594585,1.624541712,4.45728978,0.008605473,0.12337689,FALSE,0.898464252,1,812055248.2,812291068.1,0.03%
BFA,Burkina Faso,1,0.391486552,0.108292032,0.844492363,-0.00317872,0.007126091,-0.012919613,4.736079395,4.602023538,3.955882791,0.127381024,0.067140247,FALSE,0.774039701,0,3056167933,3055613688,0.02%
BGD,Bangladesh,1,0.153524859,0.282436246,0.571868942,0.03088009,0.032236264,0.042027855,3.255282873,4.39477812,2.27774215,0.143220934,0.053337586,FALSE,0.548580521,0,24886753796,22826766399,8.28%
BIH,Bosnia and Herzegovina,1,0.127096128,0.293675556,0.443278824,-0.001310266,0.007297067,-0.014887098,4.345941461,3.044876919,2.143160798,0.147983294,0.010344107,FALSE,0.411159075,0,3742622545,3727902086,0.39%
BLZ,Belize,1,0.316851527,0.242918969,0.621230808,-0.016821519,-0.017446655,0.016323383,1.270074132,3.720112096,2.867986519,0.158190115,0.052702392,FALSE,0.176723256,1,97046661.24,96885870.2,0.17%
