,country,country_name,wbregion,wbregionname,wbincome,wbincomename,wblending,wbhipc,iiasaregion
2,AFG,Afghanistan,SAS,South Asia,LIC,Low income,IDA,HIPC,
4,ALB,Albania,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
54,DZA,Algeria,MNA,Middle East & North Africa,UMI,Upper middle income,IBRD,,
8,ASM,American Samoa,EAP,East Asia & Pacific,UMI,Upper middle income,..,,
1,ADO,Andorra,YHI,High Income,HIX,High income: nonOECD,..,,ECA
3,AGO,Angola,SSA,Sub-Saharan Africa,UMI,Upper middle income,IDA,,
9,ATG,Antigua and Barbuda,YHI,High Income,HIX,High income: nonOECD,IBRD,,LAC
6,ARG,Argentina,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
7,ARM,Armenia,ECA,Europe & Central Asia,LMI,Lower middle income,Blend,,
0,ABW,Aruba,YHI,High Income,HIX,High income: nonOECD,..,,LAC
10,AUS,Australia,YHI,High Income,HIO,High income: OECD,..,,EAP
11,AUT,Austria,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
12,AZE,Azerbaijan,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
20,BHS,"Bahamas, The",YHI,High Income,HIX,High income: nonOECD,..,,LAC
19,BHR,Bahrain,YHI,High Income,HIX,High income: nonOECD,..,,MNA
17,BGD,Bangladesh,SAS,South Asia,LIC,Low income,IDA,,
27,BRB,Barbados,YHI,High Income,HIX,High income: nonOECD,..,,LAC
22,BLR,Belarus,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
14,BEL,Belgium,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
23,BLZ,Belize,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
15,BEN,Benin,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
24,BMU,Bermuda,YHI,High Income,HIX,High income: nonOECD,..,,LAC
29,BTN,Bhutan,SAS,South Asia,LMI,Lower middle income,IDA,,
25,BOL,Bolivia,LAC,Latin America & Caribbean,LMI,Lower middle income,Blend,HIPC,
21,BIH,Bosnia and Herzegovina,ECA,Europe & Central Asia,UMI,Upper middle income,Blend,,
30,BWA,Botswana,SSA,Sub-Saharan Africa,UMI,Upper middle income,IBRD,,
26,BRA,Brazil,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
28,BRN,Brunei Darussalam,YHI,High Income,HIX,High income: nonOECD,..,,EAP
18,BGR,Bulgaria,ECA,Europe & Central Asia,UMI,Upper middle income,IBRD,,
16,BFA,Burkina Faso,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
13,BDI,Burundi,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
100,KHM,Cambodia,EAP,East Asia & Pacific,LIC,Low income,IDA,,
38,CMR,Cameroon,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
32,CAN,Canada,YHI,High Income,HIO,High income: OECD,..,,ECA
42,CPV,Cape Verde,SSA,Sub-Saharan Africa,LMI,Lower middle income,Blend,,
46,CYM,Cayman Islands,YHI,High Income,HIX,High income: nonOECD,..,,LAC
31,CAF,Central African Republic,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
186,TCD,Chad,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
34,CHI,Channel Islands,YHI,High Income,HIX,High income: nonOECD,..,,ECA
35,CHL,Chile,YHI,High Income,HIO,High income: OECD,IBRD,,LAC
36,CHN,China,EAP,East Asia & Pacific,UMI,Upper middle income,IBRD,,
40,COL,Colombia,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
41,COM,Comoros,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
212,ZAR,"Congo, Dem. Rep.",SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
39,COG,"Congo, Rep.",SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
43,CRI,Costa Rica,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
37,CIV,Cote d'Ivoire,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
82,HRV,Croatia,YHI,High Income,HIX,High income: nonOECD,IBRD,,ECA
44,CUB,Cuba,LAC,Latin America & Caribbean,UMI,Upper middle income,..,,
45,CUW,Curacao,YHI,High Income,HIX,High income: nonOECD,..,,LAC
47,CYP,Cyprus,YHI,High Income,HIX,High income: nonOECD,..,EMU,ECA
48,CZE,Czech Republic,YHI,High Income,HIO,High income: OECD,..,,ECA
52,DNK,Denmark,YHI,High Income,HIO,High income: OECD,..,,ECA
50,DJI,Djibouti,MNA,Middle East & North Africa,LMI,Lower middle income,IDA,,
51,DMA,Dominica,LAC,Latin America & Caribbean,UMI,Upper middle income,Blend,,
53,DOM,Dominican Republic,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
55,ECU,Ecuador,LAC,Latin America & Caribbean,UMI,Upper middle income,IBRD,,
56,EGY,"Egypt, Arab Rep.",MNA,Middle East & North Africa,LMI,Lower middle income,IBRD,,
171,SLV,El Salvador,LAC,Latin America & Caribbean,LMI,Lower middle income,IBRD,,
73,GNQ,Equatorial Guinea,SSA,High Income,HIX,High income: nonOECD,IBRD,,
57,ERI,Eritrea,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
59,EST,Estonia,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
60,ETH,Ethiopia,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
64,FRO,Faeroe Islands,YHI,High Income,HIX,High income: nonOECD,..,,ECA
62,FJI,Fiji,EAP,East Asia & Pacific,UMI,Upper middle income,IBRD,,
61,FIN,Finland,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
63,FRA,France,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
160,PYF,French Polynesia,YHI,High Income,HIX,High income: nonOECD,..,,EAP
66,GAB,Gabon,SSA,Sub-Saharan Africa,UMI,Upper middle income,IBRD,,
71,GMB,"Gambia, The",SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
68,GEO,Georgia,ECA,Europe & Central Asia,LMI,Lower middle income,Blend,,
49,DEU,Germany,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
69,GHA,Ghana,SSA,Sub-Saharan Africa,LMI,Lower middle income,IDA,HIPC,
74,GRC,Greece,YHI,High Income,HIO,High income: OECD,..,EMU,ECA
76,GRL,Greenland,YHI,High Income,HIX,High income: nonOECD,..,,ECA
75,GRD,Grenada,LAC,Latin America & Caribbean,UMI,Upper middle income,Blend,,
78,GUM,Guam,YHI,High Income,HIX,High income: nonOECD,..,,EAP
77,GTM,Guatemala,LAC,Latin America & Caribbean,LMI,Lower middle income,IBRD,,
70,GIN,Guinea,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
72,GNB,Guinea-Bissau,SSA,Sub-Saharan Africa,LIC,Low income,IDA,HIPC,
79,GUY,Guyana,LAC,Latin America & Caribbean,LMI,Lower middle income,IDA,HIPC,
83,HTI,Haiti,LAC,Latin America & Caribbean,LIC,Low income,IDA,HIPC,
81,HND,Honduras,LAC,Latin America & Caribbean,LMI,Lower middle income,IDA,HIPC,
80,HKG,"Hong Kong SAR, China",YHI,High Income,HIX,High income: nonOECD,..,,EAP
84,HUN,Hungary,ECA,Europe & Central Asia,UMI,Upper middle income,..,,
91,ISL,Iceland,YHI,High Income,HIO,High income: OECD,..,,ECA
87,IND,India,SAS,South Asia,LMI,Lower middle income,Blend,,
