b,grag,grmanu,grserv,p,shareag,shareemp,sharemanu,shareurban,skillpag,skillpmanu,skillpserv,voice
0.2299264322231492,0.22502958243239699,0.3762224731969951,0.3202798576273131,0.031420928731911664,0.1960335198090103,0.5972691882858188,0.2646504841827756,0.2376259458762423,0.009029762279076177,0.18445745362739793,0.044497586656280085,0.352169641501501
0.7400863130875824,0.8826033041265479,0.24185597177634002,0.7454489707981078,0.2974529283951641,0.48360549460788854,0.2332935780871112,0.40915862856148405,0.8748737076624491,0.2019773167996304,0.5692766879082559,0.821912512238462,0.5531720015802297
0.27181343964031995,0.45939819264194465,0.18040434728995158,0.6628788836288994,0.8010508988862107,0.6468150007327227,0.2414621313416314,0.752361749211487,0.3601836646665842,0.40845438944017043,0.015241957984514169,0.5523178730570654,0.5914779931302951
0.0988856216403585,0.8359316638450528,0.0380139106618,0.6995850768764063,0.5147553539875357,0.497444307145792,0.7166403792978102,0.79497912772142,0.4831709214194077,0.306867268929332,0.9959655387620266,0.4376862477493802,0.5256783310248386
0.8412459912546668,0.5306722618506466,0.37174162241981457,0.5700859009636482,0.8357538538128202,0.46622843606876035,0.6372672186006856,0.03558806494988424,0.7478175829013816,0.23763707695625186,0.9040884822503753,0.012385710781458977,0.3466187526249289
0.6860674395584621,0.005277914847542227,0.247676760375876,0.2960189527406126,0.06062958658364565,0.14381363732486274,0.14027835693501636,0.056171508831055865,0.012910316282820692,0.47835328000281385,0.8841146613103088,0.25998944557050163,0.035609540106011583
0.49428102775603916,0.44234499386910703,0.2676579400665652,0.3677073287826367,0.8837091518404674,0.6430373697479341,0.029009218334520106,0.05408315470870697,0.3849496324755358,0.8788973699872074,0.33423785846944803,0.985208656592701,0.8131562335132956
0.8094347862456256,0.5821485487708081,0.6945363227076177,0.8717397709856198,0.6478460945359341,0.35167583905862343,0.8669161117568152,0.021402687237339495,0.7669067167476404,0.415716478137424,0.17109950968225457,0.10726153569672219,0.9299114566726175
0.25915123722190814,0.5578925755682075,0.7263891756297763,0.9821765969260807,0.5735012500008598,0.5289981668891732,0.3507616440669302,0.19893426272615422,0.3890105875378098,0.2842485928341582,0.4379266199232983,0.3960488713666796,0.10658467622696007
0.9486922877864352,0.4517566487110159,0.2560830099908841,0.7837702523576479,0.22904151218614166,0.7919138190779621,0.21780391295300242,0.11551062547669873,0.35689528499870327,0.15840405360828821,0.8595436698260835,0.40421949624107084,0.7282905528904786
