shareag,sharemanu,shareemp,gr1,gr2,gr3,gr4,gr5,gr6,p,b
0.844715915,0.575131164,0.851455906,0.960876397,0.839889441,0.194221942,0.421537792,0.736365835,0.397502398,0.612134909,0.67898117
0.30338065,0.628940029,0.952929803,0.035322301,0.684701232,0.759415559,0.088959258,0.28915997,0.298606392,0.427520907,0.443677494
0.088979358,0.108398244,0.348413396,0.886094311,0.531766912,0.045466452,0.600512573,0.751730011,0.308336402,0.845586727,0.54514669
0.769408099,0.530909508,0.86873795,0.895141937,0.824631998,0.035934855,0.62775416,0.51391493,0.595708868,0.997473347,0.079433794
0.447704919,0.914107086,0.465021348,0.691762149,0.332821743,0.617437475,0.763875711,0.122029584,0.292317178,0.431365037,0.803344044
0.293472315,0.642964888,0.101879506,0.548271756,0.110106562,0.50041166,0.011875751,0.468003903,0.604905332,0.169639228,0.436653906
0.85103017,0.896151476,0.174920936,0.958828087,0.51024281,0.891906202,0.806139522,0.327656368,0.495797944,0.210178205,0.003287281
0.839725718,0.778276445,0.538604273,0.765623822,0.587205664,0.450176566,0.979941991,0.505198567,0.654350564,0.203449355,0.449879283
0.472993118,0.728408039,0.133015502,0.065017556,0.938435176,0.70269742,0.984889938,0.485950725,0.479500575,0.232450153,0.308712641
0.467300589,0.651022843,0.922295629,0.282530523,0.115490314,0.673925833,0.55311222,0.760537778,0.373260348,0.660518718,0.091472804
0.545615929,0.828471207,0.905521157,0.00085428,0.109442636,0.933299776,0.94464073,0.462379628,0.243211456,0.449391769,0.77766965
0.574548112,0.450950505,0.289596529,0.041926456,0.680653807,0.789573223,0.341417285,0.74695317,0.632953796,0.071861236,0.747800068
0.626441149,0.173719008,0.0626699,0.867122332,0.952700647,0.213178558,0.63789113,0.90781682,0.581410977,0.599262985,0.094285839
0.680327087,0.212783697,0.926246387,0.266426635,0.855160726,0.989532542,0.904596252,0.638679745,0.892031809,0.50566075,0.892406204
0.890013754,0.556770383,0.694564435,0.061502874,0.138258921,0.108984409,0.384910659,0.743900681,0.451979545,0.605874938,0.95237499
0.153302851,0.044229721,0.622995846,0.775940547,0.92202246,0.33287931,0.492100126,0.29159531,0.40043087,0.633956523,0.32186371
0.737103912,0.74893874,0.746416193,0.01699308,0.390943782,0.603887058,0.392170532,0.679144209,0.740918668,0.656029757,0.463343162
0.82157225,0.041407285,0.272734129,0.385009769,0.193787295,0.615896343,0.794851599,0.783464375,0.961666681,0.111300661,0.209156711
0.364137577,0.768914099,0.70199136,0.288055311,0.236193948,0.150857754,0.141160284,0.803339848,0.380147927,0.64966814,0.641084036
0.323483412,0.047975687,0.353263455,0.662614555,0.004057376,0.574587363,0.506092122,0.448564463,0.773483239,0.483881114,0.163328317
0.398068556,0.479642313,0.081265466,0.709754343,0.818682326,0.894357801,0.867551823,0.075977761,0.491628963,0.282715557,0.222658974
0.868109012,0.158573025,0.775659397,0.856400851,0.49848566,0.086100985,0.239672957,0.394459692,0.52654912,0.474671495,0.223519128
0.369616405,0.131484142,0.668373762,0.795581895,0.427593569,0.430203693,0.250605621,0.084519482,0.505169507,0.13483108,0.85167101
0.7088735,0.26318694,0.436659913,0.137120937,0.168679565,0.744019841,0.005241941,0.889152105,0.545194809,0.686855756,0.4407138
0.248080843,0.028630842,0.653983659,0.99383269,0.721915051,0.284104625,0.465642847,0.862331687,0.695966493,0.37495874,0.349961203
0.357914993,0.473260011,0.106651993,0.866123141,0.545276555,0.288883303,0.902563901,0.997174725,0.105936742,0.925037737,0.125328297
0.047242217,0.216650947,0.286336748,0.886994975,0.009408726,0.864276316,0.096206684,0.453264886,0.779425608,0.713121795,0.404145084
0.130685084,0.009505251,0.304683706,0.565622169,0.596358674,0.767165232,0.531480197,0.393108862,0.163561343,0.851171947,0.656775317
0.819191192,0.11913248,0.764272406,0.767624618,0.785774151,0.937943221,0.008582279,0.440989312,0.117768387,0.55892521,0.889585662
0.605287516,0.871605217,0.278592328,0.417524551,0.157014719,0.23434892,0.002405807,0.300172214,0.076417279,0.615560753,0.133986481
0.985994174,0.31657678,0.56988656,0.347005281,0.526261503,0.735316521,0.429108454,0.642110303,0.158238153,0.041667964,0.665050235
0.143947239,0.844521939,0.860634923,0.104035511,0.141446134,0.485597304,0.376026747,0.80891202,0.270299161,0.840075734,0.820150081
0.830457685,0.287989364,0.254919831,0.630269446,0.26223379,0.176043986,0.541728605,0.270735928,0.033577775,0.285868731,0.855025825
0.483385861,0.59642569,0.83513094,0.274832708,0.615388751,0.885374783,0.040439923,0.651444059,0.264344625,0.398489836,0.836546242
0.646727252,0.536232123,0.682422318,0.687678866,0.986416987,0.207421106,0.535974994,0.520418314,0.227152798,0.06127048,0.967246351
0.103113924,0.756330853,0.022442127,0.009097033,0.311686369,0.021555666,0.554102319,0.443378975,0.913729341,0.771226573,0.684614169
0.193384927,0.899685631,0.377029449,0.317963709,0.565095697,0.200994089,0.225182718,0.13670809,0.501856371,0.973346516,0.467176288
0.037435583,0.415812466,0.31659272,0.151051969,0.442839926,0.942555278,0.45696453,0.416165915,0.156611746,0.488596342,0.70379867
0.096470718,0.07168953,0.336080498,0.146441565,0.356404538,0.458881036,0.817968613,0.343873281,0.171798975,0.807897834,0.255893044
0.870298423,0.970678656,0.202668042,0.899383252,0.277365191,0.873125535,0.430987605,0.159072598,0.626844329,0.203267509,0.176482533
0.42215883,0.709768885,0.915835943,0.353707353,0.045272881,0.783735233,0.679158426,0.052397972,0.475603003,0.387123779,0.84101614
0.515848752,0.37413185,0.227796926,0.330708751,0.959286088,0.799526691,0.126323393,0.423198888,0.225667907,0.293617421,0.375042314
0.623164346,0.36114124,0.935260135,0.447214728,0.743482319,0.220453172,0.717936333,0.561995848,0.293655666,0.479506153,0.177718225
