shareag,sharemanu,shareemp,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b
0.6133931423202934,0.4770381905991807,0.9202889456055091,0.7948010158496897,0.5079516783646147,0.45697398924845073,0.3502274654440134,0.48151812765313534,0.31410782991398156,0.12835902138484093,0.60252518834079
0.8830739713753801,0.8097258418659701,0.5377201805808423,0.8620990259170853,0.5658306391394898,0.7200462546090206,0.00637329666352811,0.7375520756828554,0.4785591469877631,0.10489986149454991,0.42616467687663867
0.32526736389292094,0.2531302102653393,0.30346858957057177,0.9198312485520025,0.12668012909028445,0.4745382367226592,0.5716992422026752,0.0896005459035376,0.47181322151540434,0.8673205150158642,0.2682273409341747
0.4566682223826062,0.16847093981407543,0.9936369794702755,0.06182416715557163,0.2567550736562091,0.901723377561016,0.09830211768992267,0.28118583646977113,0.8401223064635736,0.8186457693617163,0.4085072610505991
0.6750075309750676,0.2372064791305383,0.29352223970346186,0.644010764639403,0.2879166852895349,0.9213899700213524,0.27571971173843374,0.3194662732617289,0.3505625527916574,0.8688314929595892,0.591291664827914
0.2364760887662729,0.0717144007932048,0.46195109902930787,0.2807662223852802,0.6112708198137504,0.07206019256090491,0.5902504602988684,0.7593302289322841,0.19162788928004637,0.6282089183916014,0.2905923612073857
0.033561191103351685,0.7810103595817839,0.540666369205164,0.11982565796994811,0.26010808755163234,0.3786363344412798,0.608819386553237,0.16666571115347867,0.09762206879248843,0.9808490157762108,0.8528291255931367
0.3368257839151097,0.7411244049689656,0.6983024247314216,0.6021573375683466,0.376377249958165,0.3739917865520182,0.7530730278523418,0.44446845047522554,0.3734578541428053,0.9423749556072892,0.26047326882109934
0.38872970621870967,0.1030235157651224,0.2904197243514907,0.8232506013032654,0.5001519078090987,0.7098677130186782,0.2010326839633125,0.19257726010489715,0.9159895894447183,0.8142655107515262,0.8033278010445394
0.7744498139891339,0.3382759510303243,0.845459856112204,0.31996995877333045,0.3796787077486982,0.12331895970763773,0.020066890459319472,0.04695528046941053,0.6921852986028191,0.06590196046606743,0.07478536304815833
0.7999303274983933,0.5186305502808554,0.356609676071981,0.3754150519013626,0.5126369629691465,0.2917554495743406,0.6694006079676554,0.6564675320763528,0.5404039205239314,0.7832999307457563,0.8206930218385992
0.23141630486947606,0.09462500764334734,0.5056324485522639,0.4107393816103694,0.8920198335179196,0.972226688537268,0.2979595127341511,0.8951633692942098,0.27389290761366736,0.4334680287957089,0.9223208733765846
0.0808479998717726,0.22046379747242387,0.6837734300801083,0.9773921129984636,0.2629062748425853,0.4039912827097603,0.13477645653843265,0.2384771040244011,0.8614311768300708,0.3907269638556738,0.766351113299532
